#Tp,max_R_bbc,max_R_bbc_CI_lo,max_R_bbc_CI_hi,max_AIS_bbc,max_AIS_bbc_CI_lo,max_AIS_bbc_CI_hi,number_of_bins_d_bbc,scaling_k_bbc,first_bin_size_bbc,max_R_shuffling,max_R_shuffling_CI_lo,max_R_shuffling_CI_hi,max_AIS_shuffling,max_AIS_shuffling_CI_lo,max_AIS_shuffling_CI_hi,number_of_bins_d_shuffling,scaling_k_shuffling,first_bin_size_shuffling
0.00500,0.00416,0.00416,0.00416,0.00041,0.00041,0.00041,4.00000,0.00000,0.00125,0.00419,0.00419,0.00419,0.00041,0.00041,0.00041,1.00000,0.00000,0.00500
0.00561,0.00499,0.00499,0.00499,0.00049,0.00049,0.00049,4.00000,0.00000,0.00140,0.00502,0.00502,0.00502,0.00049,0.00049,0.00049,1.00000,0.00000,0.00561
0.00629,0.00544,0.00544,0.00544,0.00054,0.00054,0.00054,4.00000,0.00000,0.00157,0.00547,0.00547,0.00547,0.00054,0.00054,0.00054,1.00000,0.00000,0.00629
0.00706,0.00625,0.00625,0.00625,0.00062,0.00062,0.00062,4.00000,0.00000,0.00177,0.00628,0.00628,0.00628,0.00062,0.00062,0.00062,1.00000,0.00000,0.00706
0.00792,0.00670,0.00670,0.00670,0.00066,0.00066,0.00066,4.00000,0.00000,0.00198,0.00673,0.00673,0.00673,0.00066,0.00066,0.00066,1.00000,0.00000,0.00792
0.00889,0.00756,0.00756,0.00756,0.00074,0.00074,0.00074,4.00000,0.00000,0.00222,0.00759,0.00759,0.00759,0.00075,0.00075,0.00075,1.00000,0.00000,0.00889
0.00998,0.00840,0.00840,0.00840,0.00083,0.00083,0.00083,4.00000,0.00000,0.00249,0.00843,0.00843,0.00843,0.00083,0.00083,0.00083,1.00000,0.00000,0.00998
0.01119,0.00975,0.00975,0.00975,0.00096,0.00096,0.00096,4.00000,0.00000,0.00280,0.00977,0.00977,0.00977,0.00096,0.00096,0.00096,1.00000,0.00000,0.01119
0.01256,0.01103,0.01103,0.01103,0.00109,0.00109,0.00109,4.00000,0.00000,0.00314,0.01106,0.01106,0.01106,0.00109,0.00109,0.00109,1.00000,0.00000,0.01256
0.01409,0.01234,0.01234,0.01234,0.00121,0.00121,0.00121,4.00000,0.00000,0.00352,0.01236,0.01236,0.01236,0.00122,0.00122,0.00122,1.00000,0.00000,0.01409
0.01581,0.01367,0.01367,0.01367,0.00135,0.00135,0.00135,4.00000,0.00000,0.00395,0.01370,0.01370,0.01370,0.00135,0.00135,0.00135,1.00000,0.00000,0.01581
0.01774,0.01545,0.01545,0.01545,0.00152,0.00152,0.00152,4.00000,0.00000,0.00443,0.01548,0.01548,0.01548,0.00152,0.00152,0.00152,1.00000,0.00000,0.01774
0.01991,0.01723,0.01723,0.01723,0.00170,0.00170,0.00170,4.00000,0.00000,0.00498,0.01726,0.01726,0.01726,0.00170,0.00170,0.00170,1.00000,0.00000,0.01991
0.02233,0.01949,0.01949,0.01949,0.00192,0.00192,0.00192,4.00000,0.00000,0.00558,0.01952,0.01952,0.01952,0.00192,0.00192,0.00192,1.00000,0.00000,0.02233
0.02506,0.02226,0.02226,0.02226,0.00219,0.00219,0.00219,4.00000,0.00000,0.00626,0.02228,0.02228,0.02228,0.00219,0.00219,0.00219,1.00000,0.00000,0.02506
0.02812,0.02473,0.02473,0.02473,0.00243,0.00243,0.00243,10.00000,0.00000,0.00281,0.02474,0.02474,0.02474,0.00244,0.00244,0.00244,2.00000,0.00000,0.01406
0.03155,0.02804,0.02804,0.02804,0.00276,0.00276,0.00276,10.00000,0.00000,0.00316,0.02803,0.02803,0.02803,0.00276,0.00276,0.00276,2.00000,0.24170,0.01150
0.03540,0.03111,0.03111,0.03111,0.00306,0.00306,0.00306,5.00000,0.00000,0.00708,0.03109,0.03109,0.03109,0.00306,0.00306,0.00306,2.00000,0.00000,0.01770
0.03972,0.03546,0.03546,0.03546,0.00349,0.00349,0.00349,3.00000,0.00000,0.01324,0.03545,0.03545,0.03545,0.00349,0.00349,0.00349,3.00000,0.22592,0.00721
0.04456,0.04045,0.04045,0.04045,0.00398,0.00398,0.00398,10.00000,0.00000,0.00446,0.04044,0.04044,0.04044,0.00398,0.00398,0.00398,2.00000,0.09981,0.01973
0.05000,0.04487,0.04487,0.04487,0.00442,0.00442,0.00442,10.00000,0.00000,0.00500,0.04478,0.04478,0.04478,0.00441,0.00441,0.00441,2.00000,0.10603,0.02196
0.05610,0.05043,0.05043,0.05043,0.00496,0.00496,0.00496,10.00000,0.00000,0.00561,0.05022,0.05022,0.05022,0.00494,0.00494,0.00494,3.00000,0.00000,0.01870
0.06295,0.05650,0.05650,0.05650,0.00556,0.00556,0.00556,9.00000,0.02281,0.00562,0.05632,0.05632,0.05632,0.00554,0.00554,0.00554,3.00000,0.10411,0.01620
0.07063,0.06267,0.06267,0.06267,0.00617,0.00617,0.00617,8.00000,0.00000,0.00883,0.06236,0.06236,0.06236,0.00614,0.00614,0.00614,3.00000,0.05548,0.02061
0.07924,0.06757,0.06757,0.06757,0.00665,0.00665,0.00665,10.00000,0.01023,0.00711,0.06684,0.06684,0.06684,0.00658,0.00658,0.00658,4.00000,0.03461,0.01751
0.08891,0.07408,0.07408,0.07408,0.00729,0.00729,0.00729,10.00000,0.03017,0.00638,0.07399,0.07399,0.07399,0.00728,0.00728,0.00728,4.00000,0.00000,0.02223
0.09976,0.08187,0.08187,0.08187,0.00806,0.00806,0.00806,10.00000,0.04748,0.00581,0.08131,0.08131,0.08131,0.00800,0.00800,0.00800,4.00000,0.11816,0.01584
0.11194,0.08900,0.08900,0.08900,0.00876,0.00876,0.00876,6.00000,0.06169,0.01270,0.08826,0.08826,0.08826,0.00869,0.00869,0.00869,5.00000,0.14188,0.01049
0.12559,0.09585,0.09585,0.09585,0.00943,0.00943,0.00943,8.00000,0.05271,0.00988,0.09514,0.09514,0.09514,0.00936,0.00936,0.00936,4.00000,0.00000,0.03140
0.14092,0.10291,0.10291,0.10291,0.01013,0.01013,0.01013,8.00000,0.01432,0.01565,0.10195,0.10195,0.10195,0.01003,0.01003,0.01003,5.00000,0.06397,0.02054
0.15811,0.10857,0.10857,0.10857,0.01069,0.01069,0.01069,7.00000,0.00000,0.02259,0.10720,0.10720,0.10720,0.01055,0.01055,0.01055,5.00000,0.00000,0.03162
0.17741,0.11345,0.11345,0.11345,0.01117,0.01117,0.01117,7.00000,0.02062,0.02188,0.11143,0.11143,0.11143,0.01097,0.01097,0.01097,5.00000,0.00000,0.03548
0.19905,0.11662,0.11662,0.11662,0.01148,0.01148,0.01148,8.00000,0.03522,0.01841,0.11470,0.11470,0.11470,0.01129,0.01129,0.01129,5.00000,0.07443,0.02744
0.22334,0.11873,0.11873,0.11873,0.01169,0.01169,0.01169,7.00000,0.00000,0.03191,0.11617,0.11617,0.11617,0.01143,0.01143,0.01143,6.00000,0.00000,0.03722
0.25059,0.12169,0.12169,0.12169,0.01198,0.01198,0.01198,10.00000,0.01386,0.02162,0.11902,0.11902,0.11902,0.01172,0.01172,0.01172,5.00000,0.04060,0.04121
0.28117,0.12316,0.12316,0.12316,0.01212,0.01212,0.01212,10.00000,0.02939,0.02035,0.12042,0.11653,0.12468,0.01185,0.01147,0.01227,5.00000,0.12679,0.02884
0.31548,0.12431,0.12431,0.12431,0.01224,0.01224,0.01224,10.00000,0.03104,0.02240,0.12080,0.12080,0.12080,0.01189,0.01189,0.01189,5.00000,0.00000,0.06310
0.35397,0.12478,0.12121,0.13101,0.01228,0.01193,0.01290,10.00000,0.00000,0.03540,0.12148,0.12148,0.12148,0.01196,0.01196,0.01196,5.00000,0.00000,0.07079
0.39716,0.12560,0.12560,0.12560,0.01236,0.01236,0.01236,10.00000,0.03428,0.02714,0.12178,0.12178,0.12178,0.01199,0.01199,0.01199,6.00000,0.00000,0.06619
0.44563,0.12610,0.12610,0.12610,0.01241,0.01241,0.01241,9.00000,0.00000,0.04951,0.12086,0.12086,0.12086,0.01190,0.01190,0.01190,6.00000,0.07496,0.04621
0.50000,0.12689,0.12689,0.12689,0.01249,0.01249,0.01249,10.00000,0.07488,0.02042,0.12208,0.11808,0.12767,0.01202,0.01162,0.01257,6.00000,0.03880,0.06588
0.56101,0.12694,0.12526,0.13417,0.01250,0.01233,0.01321,10.00000,0.01950,0.04546,0.12121,0.12121,0.12121,0.01193,0.01193,0.01193,6.00000,0.04010,0.07331
0.62946,0.12619,0.12619,0.12619,0.01242,0.01242,0.01242,10.00000,0.02027,0.05057,0.11954,0.11954,0.11954,0.01177,0.01177,0.01177,7.00000,0.03336,0.07058
0.70627,0.12690,0.12690,0.12690,0.01249,0.01249,0.01249,10.00000,0.06310,0.03372,0.11788,0.11788,0.11788,0.01160,0.01160,0.01160,7.00000,0.06892,0.05963
0.79245,0.12667,0.12667,0.12667,0.01247,0.01247,0.01247,9.00000,0.05036,0.05297,0.11683,0.11683,0.11683,0.01150,0.01150,0.01150,8.00000,0.05919,0.05858
0.88914,0.12612,0.12612,0.12612,0.01241,0.01241,0.01241,10.00000,0.02254,0.06962,0.11497,0.11497,0.11497,0.01132,0.01132,0.01132,7.00000,0.14652,0.03713
0.99763,0.12439,0.12439,0.12439,0.01224,0.01224,0.01224,10.00000,0.04658,0.05874,0.11581,0.11581,0.11581,0.01140,0.01140,0.01140,8.00000,0.09442,0.05162
1.11936,0.12414,0.12414,0.12414,0.01222,0.01222,0.01222,10.00000,0.04806,0.06471,0.11475,0.11475,0.11475,0.01130,0.01130,0.01130,7.00000,0.15509,0.04297
1.25594,0.12333,0.12333,0.12333,0.01214,0.01214,0.01214,10.00000,0.07430,0.05169,0.11311,0.11311,0.11311,0.01113,0.01113,0.01113,7.00000,0.11950,0.06785
1.40919,0.12233,0.12233,0.12233,0.01204,0.01204,0.01204,10.00000,0.07650,0.05630,0.11181,0.11181,0.11181,0.01101,0.01101,0.01101,7.00000,0.24535,0.02091
1.58114,0.12086,0.12086,0.12086,0.01190,0.01190,0.01190,10.00000,0.13114,0.02861,0.11372,0.11372,0.11372,0.01119,0.01119,0.01119,7.00000,0.25166,0.02187
1.77407,0.12131,0.12131,0.12131,0.01194,0.01194,0.01194,10.00000,0.10780,0.04557,0.11039,0.11039,0.11039,0.01087,0.01087,0.01087,8.00000,0.18035,0.03418
1.99054,0.12064,0.12064,0.12064,0.01187,0.01187,0.01187,10.00000,0.19369,0.01309,0.11025,0.11025,0.11025,0.01085,0.01085,0.01085,7.00000,0.30823,0.01441
2.23342,0.11923,0.11923,0.11923,0.01174,0.01174,0.01174,10.00000,0.17032,0.02167,0.10984,0.10984,0.10984,0.01081,0.01081,0.01081,5.00000,0.35215,0.04928
2.50594,0.12014,0.12014,0.12014,0.01183,0.01183,0.01183,10.00000,0.17459,0.02267,0.11020,0.11020,0.11020,0.01085,0.01085,0.01085,8.00000,0.23265,0.02479
2.81171,0.11935,0.11935,0.11935,0.01175,0.01175,0.01175,10.00000,0.17885,0.02370,0.10935,0.10935,0.10935,0.01076,0.01076,0.01076,6.00000,0.40346,0.01641
3.15479,0.11843,0.11843,0.11843,0.01166,0.01166,0.01166,10.00000,0.15257,0.04080,0.10958,0.10958,0.10958,0.01079,0.01079,0.01079,6.00000,0.41195,0.01690
3.53973,0.11754,0.11754,0.11754,0.01157,0.01157,0.01157,10.00000,0.21852,0.01521,0.11180,0.11180,0.11180,0.01100,0.01100,0.01100,6.00000,0.42042,0.01741
3.97164,0.11956,0.11956,0.11956,0.01177,0.01177,0.01177,10.00000,0.22342,0.01567,0.10932,0.10932,0.10932,0.01076,0.01076,0.01076,6.00000,0.30633,0.05996
4.45625,0.11607,0.11607,0.11607,0.01142,0.01142,0.01142,10.00000,0.19569,0.02833,0.11036,0.11036,0.11036,0.01086,0.01086,0.01086,7.00000,0.46098,0.00500
5.00000,0.11665,0.11665,0.11665,0.01148,0.01148,0.01148,10.00000,0.19986,0.02961,0.10962,0.10962,0.10962,0.01079,0.01079,0.01079,6.00000,0.50935,0.00981
5.61009,0.11500,0.11500,0.11500,0.01132,0.01132,0.01132,10.00000,0.17002,0.05470,0.10970,0.10970,0.10970,0.01080,0.01080,0.01080,7.00000,0.37270,0.01881
6.29463,0.11585,0.11585,0.11585,0.01140,0.01140,0.01140,10.00000,0.27755,0.00946,0.10861,0.10861,0.10861,0.01069,0.01069,0.01069,7.00000,0.37975,0.01936
7.06269,0.11339,0.11339,0.11339,0.01116,0.01116,0.01116,10.00000,0.24768,0.01817,0.10910,0.10910,0.10910,0.01074,0.01074,0.01074,7.00000,0.38679,0.01994
7.92447,0.11518,0.11518,0.11518,0.01134,0.01134,0.01134,10.00000,0.25248,0.01872,0.11049,0.11049,0.11049,0.01088,0.01088,0.01088,7.00000,0.39381,0.02052
8.89140,0.11463,0.11463,0.11463,0.01128,0.01128,0.01128,10.00000,0.25727,0.01928,0.11045,0.11045,0.11045,0.01087,0.01087,0.01087,6.00000,0.41774,0.04493
9.97631,0.11386,0.11386,0.11386,0.01121,0.01121,0.01121,10.00000,0.26205,0.01985,0.10825,0.10825,0.10825,0.01065,0.01065,0.01065,6.00000,0.42483,0.04691
